Frame	Tempo (s)	Emoção
852	28.40	happy
853	28.43	happy
854	28.47	happy
855	28.50	happy
856	28.53	happy
857	28.57	happy
858	28.60	happy
859	28.63	happy
860	28.67	happy
861	28.70	happy
862	28.73	happy
863	28.77	happy
864	28.80	happy
865	28.83	happy
866	28.87	happy
867	28.90	happy
868	28.93	happy
869	28.97	happy
870	29.00	happy
871	29.03	happy
872	29.07	happy
873	29.10	happy
874	29.13	happy
875	29.17	happy
876	29.20	happy
877	29.23	happy
878	29.27	happy
879	29.30	happy
880	29.33	happy
881	29.37	happy
882	29.40	happy
883	29.43	happy
884	29.47	happy
885	29.50	happy
886	29.53	happy
887	29.57	happy
888	29.60	happy
889	29.63	happy
890	29.67	happy
891	29.70	happy
892	29.73	happy
893	29.77	happy
894	29.80	happy
895	29.83	happy
896	29.87	happy
897	29.90	happy
898	29.93	happy
899	29.97	happy
900	30.00	surprise
901	30.03	surprise
902	30.07	surprise
903	30.10	happy
904	30.13	surprise
905	30.17	surprise
906	30.20	surprise
907	30.23	surprise
908	30.27	surprise
909	30.30	surprise
910	30.33	surprise
911	30.37	surprise
912	30.40	surprise
913	30.43	surprise
914	30.47	surprise
915	30.50	surprise
916	30.53	surprise
917	30.57	surprise
918	30.60	surprise
919	30.63	happy
920	30.67	surprise
921	30.70	surprise
922	30.73	happy
923	30.77	happy
924	30.80	surprise
925	30.83	happy
926	30.87	surprise
927	30.90	surprise
928	30.93	surprise
929	30.97	surprise
930	31.00	happy
931	31.03	surprise
932	31.07	happy
933	31.10	surprise
934	31.13	surprise
935	31.17	happy
936	31.20	neutral
937	31.23	happy
938	31.27	happy
939	31.30	happy
940	31.33	happy
941	31.37	surprise
942	31.40	happy
943	31.43	happy
944	31.47	happy
945	31.50	surprise
946	31.53	happy
947	31.57	happy
948	31.60	happy
949	31.63	happy
950	31.67	happy
951	31.70	happy
952	31.73	surprise
953	31.77	surprise
954	31.80	surprise
955	31.83	surprise
956	31.87	surprise
957	31.90	happy
958	31.93	happy
959	31.97	surprise
960	32.00	happy
961	32.03	surprise
962	32.07	happy
963	32.10	happy
964	32.13	happy
965	32.17	surprise
966	32.20	surprise
967	32.23	surprise
968	32.27	surprise
969	32.30	surprise
970	32.33	happy
971	32.37	surprise
972	32.40	neutral
973	32.43	surprise
974	32.47	happy
975	32.50	surprise
976	32.53	fear
977	32.57	neutral
978	32.60	happy
979	32.63	surprise
980	32.67	fear
981	32.70	happy
982	32.73	surprise
983	32.77	happy
984	32.80	surprise
985	32.83	surprise
986	32.87	happy
987	32.90	neutral
988	32.93	happy
989	32.97	happy
990	33.00	surprise
991	33.03	surprise
992	33.07	fear
993	33.10	happy
994	33.13	surprise
995	33.17	happy
996	33.20	surprise
997	33.23	neutral
998	33.27	neutral
999	33.30	surprise
1000	33.33	surprise
1001	33.37	surprise
1002	33.40	fear
1003	33.43	fear
1004	33.47	neutral
1005	33.50	neutral
1006	33.53	happy
1007	33.57	happy
1008	33.60	fear
1009	33.63	fear
1010	33.67	happy
1011	33.70	happy
1012	33.73	fear
1013	33.77	fear
1014	33.80	surprise
1015	33.83	neutral
1016	33.87	surprise
1017	33.90	happy
1018	33.93	surprise
1019	33.97	surprise
1020	34.00	surprise
1021	34.03	surprise
1022	34.07	surprise
1023	34.10	surprise
1024	34.13	surprise
1025	34.17	surprise
1026	34.20	surprise
1027	34.23	surprise
1028	34.27	surprise
1029	34.30	surprise
1030	34.33	surprise
1031	34.37	fear
1032	34.40	fear
1033	34.43	fear
1034	34.47	surprise
1035	34.50	surprise
1036	34.53	fear
1037	34.57	fear
1038	34.60	fear
1039	34.63	angry
1040	34.67	fear
1041	34.70	fear
1042	34.73	fear
1043	34.77	fear
1044	34.80	fear
1045	34.83	fear
1046	34.87	fear
1047	34.90	fear
1048	34.93	fear
1049	34.97	sad
1050	35.00	fear
1051	35.03	angry
1052	35.07	fear
1053	35.10	fear
1054	35.13	neutral
1055	35.17	happy
1056	35.20	surprise
1057	35.23	fear
1058	35.27	fear
1059	35.30	fear
1060	35.33	surprise
1061	35.37	fear
1062	35.40	happy
1063	35.43	happy
1064	35.47	fear
1065	35.50	surprise
1066	35.53	surprise
1067	35.57	fear
1068	35.60	surprise
1069	35.63	fear
1070	35.67	surprise
1071	35.70	surprise
1072	35.73	happy
1073	35.77	surprise
1074	35.80	happy
1075	35.83	surprise
1076	35.87	surprise
1077	35.90	happy
1078	35.93	surprise
1079	35.97	neutral
1080	36.00	sad
1081	36.03	sad
1082	36.07	sad
1083	36.10	sad
1084	36.13	sad
1085	36.17	sad
1086	36.20	sad
1087	36.23	sad
1088	36.27	sad
1089	36.30	sad
1090	36.33	sad
1091	36.37	sad
1092	36.40	sad
1093	36.43	sad
1094	36.47	sad
1095	36.50	sad
1096	36.53	sad
1097	36.57	sad
1098	36.60	sad
1099	36.63	sad
1100	36.67	sad
1101	36.70	sad
1102	36.73	sad
1103	36.77	sad
1104	36.80	sad
1105	36.83	sad
